2026-03-27 19:33 <INFO>  [1m4s] 64.68s - Resetting the target for TidalVolume to 0.581272, the last target value was 0.585522 
2026-03-27 19:33 <INFO>  [1m4s] 64.68s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0423683, the last target value was 0.0427155 
2026-03-27 19:33 <INFO>  [1m8s] 68.26s - Resetting the target for TidalVolume to 0.576953, the last target value was 0.581272 
2026-03-27 19:33 <INFO>  [1m8s] 68.26s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0420288, the last target value was 0.0423683 
2026-03-27 19:33 <INFO>  [1m10s] Converging System... it took 1.88s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [1m10s] 70.8s - Resetting the target for OxygenSaturation to 0.981658, the last target value was 0.979208 
2026-03-27 19:33 <INFO>  [1m11s] 71.84s - Resetting the target for TidalVolume to 0.572598, the last target value was 0.576953 
2026-03-27 19:33 <INFO>  [1m11s] 71.84s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0417083, the last target value was 0.0420288 
2026-03-27 19:33 <INFO>  [1m15s] 75.2s - Resetting the target for SkinTemperatureTorso to 33.4364, the last target value was 33.7744 
2026-03-27 19:33 <INFO>  [1m15s] 75.44s - Resetting the target for TidalVolume to 0.570064, the last target value was 0.572598 
2026-03-27 19:33 <INFO>  [1m15s] 75.44s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0414394, the last target value was 0.0417083 
2026-03-27 19:33 <INFO>  [1m19s] 79.06s - Resetting the target for TidalVolume to 0.565584, the last target value was 0.570064 
2026-03-27 19:33 <INFO>  [1m19s] 79.06s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0412097, the last target value was 0.0414394 
2026-03-27 19:33 <INFO>  [1m20s] Converging System... it took 1.79s to simulate the past 10s 
2026-03-27 19:33 <INFO>  [1m22s] 82.7s - Resetting the target for TidalVolume to 0.561116, the last target value was 0.565584 
2026-03-27 19:33 <INFO>  [1m22s] 82.7s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0409882, the last target value was 0.0412097 
2026-03-27 19:33 <INFO>  [1m23s] 83.24s - Resetting the target for SkinTemperatureLeftArm to 31.9038, the last target value was 32.2261 
2026-03-27 19:33 <INFO>  [1m23s] 83.24s - Resetting the target for SkinTemperatureRightArm to 31.9038, the last target value was 32.2261 
2026-03-27 19:33 <INFO>  [1m26s] 86.04s - Resetting the target for SkinTemperatureHead to 31.8185, the last target value was 32.1399 
2026-03-27 19:33 <INFO>  [1m26s] 86.36s - Resetting the target for TidalVolume to 0.556673, the last target value was 0.561116 
2026-03-27 19:33 <INFO>  [1m26s] 86.36s - Resetting the target for EndTidalCarbonDioxideFraction to 0.0408074, the last target value was 0.0409882 
